,date,open,high,low,close,adj_close,volume,stock
68,1962-02-01,0.09353192895650864,0.09633789211511612,0.09353192895650864,0.09477902203798294,0.0362323559820652,1245600,DIS
69,1962-02-23,7.146666526794434,7.173333168029785,7.146666526794434,7.159999847412109,0.5804080963134766,288000,IBM
70,1962-09-12,5.76556304522923,7.1875,7.03125,7.1875,1.2750608921051025,36400,GT
71,1962-09-21,5.60699987411499,5.60699987411499,5.446800231933594,5.45481014251709,1.3031203746795654,25900,AA
72,1962-01-22,0.12328990548849106,0.1263943314552307,0.12284641712903976,0.12417688220739365,0.00688728503882885,563700,HPQ
73,1962-12-31,5.76556304522923,10.484375,10.421875,10.46875,0.24465273320674896,24800,ED
74,1962-04-12,5.76556304522923,8.641277313232422,8.369348526000977,8.641277313232422,0.7626937627792358,47400,IP
75,1962-11-05,4.789999961853027,4.856666564941406,4.789999961853027,4.820000171661377,0.3909423053264618,1728000,IBM
76,1962-04-05,5.76556304522923,271.875,268.125,271.875,122.90047454833984,300,NAV
77,1962-05-17,0.2356770783662796,0.2373046875,0.2330729216337204,0.2330729216337204,0.0037795528769493103,2496000,KO
78,1962-08-24,0.07887859642505646,0.08074923604726791,0.07887859642505646,0.08074923604726791,0.03104945831000805,622800,DIS
79,1962-09-11,5.76556304522923,5.572916507720947,5.541666507720947,5.552083492279053,0.7348398566246033,10800,FL
80,1962-10-01,0.07406264543533325,0.07406264543533325,0.07273217290639877,0.07273217290639877,0.004033978097140789,1578300,HPQ
81,1962-01-02,7.7133331298828125,7.7133331298828125,7.62666654586792,7.62666654586792,0.618152916431427,387200,IBM
82,1962-10-23,5.76556304522923,29.25,28.5625,28.5625,0.49067044258117676,5600,DTE
83,1962-10-23,5.76556304522923,5.770922660827637,5.559422969818115,5.619851589202881,0.505126953125,66900,IP
84,1962-05-28,5.76556304522923,247.5,239.375,240.0,108.4914321899414,1300,NAV
85,1962-10-10,5.76556304522923,9.40625,9.34375,9.375,0.21680977940559387,46400,ED
86,1962-05-25,0.6735777258872986,0.6735777258872986,0.6522936820983887,0.6598057150840759,0.001580150332301855,2545900,GE
87,1962-04-05,5.76556304522923,10.0,9.9375,9.953125,0.2257005125284195,24000,ED
88,1962-07-20,0.6260015964508057,0.6372696161270142,0.6247496008872986,0.6285055875778198,0.0015168874524533749,1008300,GE
89,1962-02-14,5.76556304522923,1.279296875,1.267578125,1.275390625,0.012104194611310959,422400,PG
90,1962-09-25,1.3697916269302368,1.390625,1.3697916269302368,1.390625,0.12116064876317978,112800,CAT
91,1962-09-18,5.76556304522923,6.465850830078125,6.314779281616211,6.344993591308594,0.5703042149543762,69300,IP
92,1962-12-03,5.76556304522923,31.0625,30.9375,30.9375,0.5314706563949585,3600,DTE
93,1962-09-21,0.07014895230531693,0.07014895230531693,0.06859008222818375,0.06859008222818375,0.02646474726498127,350300,DIS
94,1962-10-01,5.76556304522923,6.163708209991455,6.042850971221924,6.1032795906066895,0.5485785603523254,71300,IP
95,1962-05-14,0.7283950448036194,0.7304526567459106,0.693415641784668,0.7263374328613281,0.13118229806423187,1470000,BA
96,1962-10-10,1.3177083730697632,1.3541666269302368,1.3177083730697632,1.3541666269302368,0.11798414587974548,139200,CAT
97,1962-12-28,5.76556304522923,31.5,30.625,31.5,0.546336829662323,1400,DTE
98,1962-05-02,5.76556304522923,0.1484375,0.1467013955116272,0.1475694477558136,0.00018230268324259669,1267200,MO
99,1962-01-18,5.76556304522923,1.58203125,1.56640625,1.578125,0.013913333415985107,844800,XOM
100,1962-01-29,5.76556304522923,29.0625,28.625,28.625,0.4777367413043976,2000,DTE
101,1962-10-11,5.76556304522923,6.224136829376221,6.073065280914307,6.1032795906066895,0.5485785603523254,79900,IP
102,1962-03-14,0.12107246369123459,0.12151595205068588,0.11885501444339752,0.11885501444339752,0.006592115852981806,535500,HPQ
103,1962-12-31,5.233333110809326,5.263333320617676,5.193333148956299,5.199999809265137,0.4217635989189148,1048000,IBM
104,1962-06-12,1.3958333730697632,1.3958333730697632,1.3802083730697632,1.3958333730697632,0.12067859619855881,220800,CAT
105,1962-08-03,5.76556304522923,9.296875,9.25,9.25,0.21391896903514862,26400,ED
106,1962-04-19,0.10288941860198975,0.10288941860198975,0.10067197680473328,0.10155895352363586,0.005632810294628143,1437400,HPQ
107,1962-02-01,5.76556304522923,7.052083492279053,7.0,7.020833492279053,0.9129652380943298,48000,FL
108,1962-02-23,5.76556304522923,10.8125,10.6875,10.59375,1.8530473709106445,19200,GT
109,1962-10-18,5.76556304522923,3.5044643878936768,3.422619104385376,3.422619104385376,0.05543634667992592,134400,CVX
110,1962-05-28,4.919415473937988,5.059969902038574,4.87256383895874,4.87256383895874,1.1369680166244507,90300,ARNC
111,1962-01-11,6.347925186157227,6.347925186157227,6.32389497756958,6.339914798736572,1.4914336204528809,27900,AA
112,1962-10-11,5.76556304522923,1.65234375,1.640625,1.64453125,0.01499499473720789,460800,XOM
113,1962-05-25,5.76556304522923,9.015625,8.875,8.9375,0.20462174713611603,64800,ED
114,1962-05-29,5.76556304522923,25.75,22.75,24.75,0.41688621044158936,33000,DTE
115,1962-08-10,0.2154947966337204,0.2171223908662796,0.2154947966337204,0.216796875,0.003541332669556141,960000,KO
116,1962-04-23,1.5989583730697632,1.5989583730697632,1.5416666269302368,1.546875,0.13373708724975586,136800,CAT
117,1962-04-12,0.7336738705635071,0.7374299168586731,0.7274138331413269,0.7299178838729858,0.001748060924001038,1437600,GE
118,1962-01-04,5.76556304522923,8.852776527404785,8.701705932617188,8.701705932617188,0.7625306844711304,45800,IP
119,1962-04-13,5.76556304522923,8.611063003540039,8.429777145385742,8.580848693847656,0.7573601007461548,54700,IP
120,1962-02-27,5.76556304522923,8.822562217712402,8.73192024230957,8.822562217712402,0.7786943316459656,183700,IP
121,1962-02-05,5.76556304522923,9.625,9.5625,9.625,0.21825963258743286,24000,ED
122,1962-09-07,5.76556304522923,1.62890625,1.62109375,1.625,0.014816910959780216,704000,XOM
123,1962-09-13,5.114999771118164,5.1533331871032715,5.111666679382324,5.113333225250244,0.41464710235595703,843200,IBM
124,1962-01-02,0.8374485373497009,0.8374485373497009,0.8230452537536621,0.8230452537536621,0.1457476019859314,352200,BA
125,1962-10-23,1.265625,1.2760416269302368,1.234375,1.2447916269302368,0.10928596556186676,180000,CAT
126,1962-05-14,5.76556304522923,1.203125,1.13671875,1.19921875,0.01143239252269268,710400,PG
127,1962-10-17,5.76556304522923,9.3125,9.296875,9.296875,0.21500305831432343,12800,ED
128,1962-01-10,0.8189300298690796,0.8333333134651184,0.8168724179267883,0.8189300298690796,0.14501884579658508,352200,BA
129,1962-10-08,4.803333282470703,4.820000171661377,4.7866668701171875,4.796666622161865,0.38896819949150085,635200,IBM
130,1962-05-25,0.0,1.6328125,1.578125,1.59375,0.014363490045070648,0,XOM
131,1962-10-26,0.661057710647583,0.6698217391967773,0.6598057150840759,0.6698217391967773,0.0016285593155771494,1317800,GE
132,1962-08-10,5.019999980926514,5.063333511352539,5.00166654586792,5.010000228881836,0.4062677323818207,976000,IBM
133,1962-04-02,5.76556304522923,10.09375,10.015625,10.015625,0.2271176129579544,16000,ED
